goods_name,shop_name,price,purchase_num,location
螺霸王麻辣口味味道螺蛳粉315G*10袋广西柳州特产水煮螺狮粉,螺霸王食品旗舰店,139.00,['332人付款'],广西 柳州
(预售)多腐竹款水煮380g×5袋螺蛳粉先生马中才旗舰店,马中才旗舰店,73.90,['1541人付款'],广西 南宁
好欢螺螺蛳粉300g*10袋礼盒整箱广西特产螺狮粉正宗包邮螺蛳粉,迅荟食品专营店,116.10,['409人付款'],广西 柳州
好欢螺小龙虾味螺蛳粉柳州麻辣螺狮粉320gX3正宗广西香辣酸辣粉,好欢螺吖咪屋专卖店,40.23,['2975人付款'],广西 柳州
螺霸王螺蛳粉280g*3袋柳州螺狮粉正宗特产广西水煮原味螺丝粉速食,淘润食品专营店,37.50,['1.0万+人付款'],广西 柳州
董阿姨柳州螺蛳粉广西正宗特产螺狮粉整箱5包袋装螺丝粉速食米粉,董阿姨旗舰店,32.90,['1.0万+人付款'],广西 柳州
好欢螺螺蛳粉柳州正宗包邮四口味组合装小龙虾加辣加臭螺蛳粉,好欢螺吖咪屋专卖店,51.84,['841人付款'],广西 柳州
食族人酸辣粉6桶装粉丝米线米粉速食食品螺丝粉花甲粉官网整箱装,猫诚旗舰店,26.90,['770人付款'],安徽 合肥
螺霸王螺蛳粉280克*10包柳州螺狮粉整箱正宗特产广西螺丝粉礼盒装,淘润食品专营店,115.00,['328人付款'],广西 柳州
合味芳冲泡型螺蛳粉6桶装柳州螺丝粉方便速食免煮桶装冲泡螺蛳粉,中恒食品专营店,54.80,['3362人付款'],广西 柳州
粉唯湘衡阳鱼粉湖南米粉早餐方便速食冲泡免,雁城味道,39.90,['293人付款'],湖南 衡阳
广西正宗柳州麻辣螺蛳粉5袋300g酸辣,susan朵朵云,15.00,['5人付款'],广东 深圳
今麦郎面粉小麦华龙农庄头道粉5kg饺子粉,今麦郎乐淘淘专卖店,32.00,['235人付款'],山东 济宁
董阿姨柳州螺蛳粉广西正宗特产螺狮粉整箱10袋装螺丝粉速食米粉,董阿姨旗舰店,65.80,['523人付款'],广西 柳州
螺状元柳州特产螺蛳粉美食方便面速食米线螺蛳粉广西螺丝粉,螺状元旗舰店,128.00,['515人付款'],广西 柳州
爱民螺蛳粉3袋爆款方便速食香辣米粉柳州小吃螺丝粉广西特产,何氏爱民旗舰店,38.00,['1.0万+人付款'],广西 柳州
螺阿姨一城一味柳州正宗螺蛳粉特产螺狮粉10袋装整箱礼盒装螺丝粉,螺阿姨旗舰店,149.00,['846人付款'],广西 柳州
好欢螺螺蛳粉400克*3袋装 广西柳州特产螺狮粉螺丝粉米线,广西浩丰食品专营店,44.70,['4788人付款'],广西 柳州
好欢螺小龙虾味螺蛳粉320g*3袋广西螺丝粉麻辣口味柳州螺师粉包邮,潮腾食品专营店,44.70,['5500+人付款'],广西 柳州
螺霸王原味螺蛳粉280g*6包礼盒广西柳州正宗水煮粉丝酸辣米粉整箱,极之鲜食品专营店,69.90,['311人付款'],广东 深圳
网易严选 螺蛳粉 370克*6盒整箱装 广西特产速食香辣米线,网易严选旗舰店,78.00,['76人付款'],浙江 杭州
柳全螺蛳粉360g*5袋粉红款礼盒装广西特产小吃柳州螺狮粉正宗包邮,柳全食品旗舰店,75.00,['916人付款'],广西 柳州
【旗舰店】螺状元柳州螺蛳粉280g*10袋礼盒装特产美食广西螺丝粉,螺状元旗舰店,128.00,['1219人付款'],广西 柳州
【现货秒发】寄杨轩螺蛳粉柳州正宗包邮300gx10袋礼盒螺丝粉螺狮,寄杨轩旗舰店,129.00,['269人付款'],广西 柳州
食族人酸辣粉螺蛳粉网红食族爽方便面麻辣爆肚泡面红薯粉速食桶装,世瑞食品专营店,39.90,['1543人付款'],山东 青岛
彩螺螺蛳粉广西柳州特产正宗味道 280g*10袋礼品箱装现货顺丰包邮,彩螺食品旗舰店,118.00,['1071人付款'],广西 柳州
嘻螺会柳州正宗螺蛳粉小时光同款包邮螺狮粉5袋装速食米粉酸辣粉,臻冠食品专营店,35.10,['1.0万+人付款'],广西 柳州
(预售)基础款水煮型350g×3袋螺蛳粉先生马中才螺狮粉,马中才旗舰店,39.90,['2726人付款'],广西 南宁
肖三婆红薯酸辣粉4桶装 重庆正宗粉丝整箱方便面螺蛳粉速食鲜粉条,肖三婆旗舰店,39.80,['157人付款'],四川 成都
螺霸王水煮螺蛳粉280G*10包装礼盒广西柳州特产螺狮粉原味整箱L,螺霸王林北专卖店,110.90,['3290人付款'],广西 柳州
柳螺宗蛳螺蛳粉正宗柳州特产美食330g*5袋螺狮粉整箱礼盒装螺丝粉,柳螺宗蛳旗舰店,53.88,['4292人付款'],广西 柳州
【顺丰发货】小龙虾味螺蛳粉335克*3袋忆螺味辣到哭柳州正宗包邮,忆螺味旗舰店,41.40,['8000+人付款'],广西 柳州
螺久香螺蛳粉柳州正宗包邮螺狮粉广西速食米线螺丝粉袋装5包,螺久香旗舰店,44.70,['3.0万+人付款'],广西 柳州
【顺丰中通】好欢螺柳州螺蛳粉300g10袋整箱螺狮粉正宗包邮螺丝粉,迅荟食品专营店,116.10,['312人付款'],广西 柳州
青云街正宗柳州螺蛳粉广西特产夜宵方便速食品300g*5包酸辣螺丝粉,青云街旗舰店,42.70,['5.5万+人付款'],广西 柳州
